id,district,locality,families,households,population,male,female
433,Kaski,Annapurna  ,6406,5811,22517,10863,11654
434,Kaski,Machhapuchchhre  ,6144,5509,22013,10762,11251
435,Kaski,Madi  ,4115,4014,16318,8136,8182
436,Kaski,Pokhara Metropolitian City,143137,101669,518452,250999,267453
437,Kaski,Rupa  ,3674,3569,14741,7093,7648
438,Manang,Chame  ,391,333,1272,728,544
439,Manang,Narpa Bhumi  ,125,125,398,170,228
440,Manang,Narshon  ,471,441,1671,831,840
441,Manang,Manang Ingshyang  ,558,548,1584,818,766
442,Mustang,Waragung Muktikhsetra  ,738,666,2611,1336,1275
443,Mustang,Lo-Ghekar Damodarkunda  ,459,444,1535,748,787
444,Mustang,Gharapjhong  ,1169,921,4875,2904,1971
445,Mustang,Lomanthang  ,540,539,1997,1132,865
446,Mustang,Thasang  ,845,698,3578,2054,1524
447,Myagdi,Annapurna  ,3618,3340,12351,6078,6273
448,Myagdi,Beni ,9465,7202,33062,15572,17490
449,Myagdi,Dhaulagiri  ,3192,3008,12604,6158,6446
450,Myagdi,Malika  ,4818,4336,18346,8999,9347
451,Myagdi,Mangala  ,3934,3699,14772,7030,7742
452,Myagdi,Raghuganga  ,4174,3767,14232,6857,7375
453,Parbat,Bihadi  ,3192,3063,12521,5960,6561
454,Parbat,Jaljala  ,6095,5140,21375,10259,11116
455,Parbat,Kushma ,11906,9740,38774,18543,20231
456,Parbat,Mahashila  ,2093,1964,8233,3867,4366
457,Parbat,Modi  ,5148,4618,18018,8611,9407
458,Parbat,Painyu  ,3292,2995,12705,6025,6680
459,Parbat,Phalebas ,5875,5529,20726,9534,11192
460,Baglung,Badigad  ,6819,6324,28797,13487,15310
461,Baglung,Baglung ,16399,12924,57030,26588,30442
462,Baglung,Bareng  ,2981,2796,11162,5070,6092
463,Baglung,Dhorpatan ,7661,6535,30779,14306,16473
464,Baglung,Galkot ,7912,7314,30503,14473,16030
465,Baglung,Jaimuni ,6912,6555,24784,11310,13474
466,Baglung,Kanthekhola  ,5961,5743,22732,10387,12345
467,Baglung,Nisikhola  ,5711,5499,23215,10566,12649
468,Baglung,Taman Khola  ,2622,2453,9795,4667,5128
469,Baglung,Tara Khola  ,2356,2302,10167,5010,5157
470,Nawalparasi East,Binayee Tribeni  ,9348,8651,39201,18664,20537
471,Nawalparasi East,Bulingtar  ,3569,3305,14596,7007,7589
472,Nawalparasi East,Baudeekali  ,2914,2676,11339,5164,6175
473,Nawalparasi East,Devchuli ,14836,13127,59400,28133,31267
474,Nawalparasi East,Gaidakot ,20701,17151,80737,38725,42012
475,Nawalparasi East,Hupsekot  ,6250,5865,26861,12346,14515
476,Nawalparasi East,Kawasoti ,22184,19568,87176,40890,46286
477,Nawalparasi East,Madhyabindu ,15549,14345,61548,28291,33257
478,Gulmi,Chandrakot  ,5148,4732,18751,8605,10146
479,Gulmi,Chatrakot  ,5320,5073,19239,8601,10638
480,Gulmi,Dhurkot  ,5405,5036,18699,8285,10414
481,Gulmi,Gulmidarbar  ,5288,5032,19413,8490,10923
482,Gulmi,Isma  ,5013,4777,18530,8453,10077
483,Gulmi,Kaligandaki  ,3793,3640,15106,7085,8021
484,Gulmi,Madane  ,5274,4961,19820,8985,10835
485,Gulmi,Malika  ,5273,5040,20173,9263,10910
486,Gulmi,Musikot ,7135,6761,28761,13371,15390
487,Gulmi,Resunga ,9129,6865,31677,14696,16981
488,Gulmi,Ruru  ,4691,4348,16638,7627,9011
489,Gulmi,Satyawati  ,5252,4953,19751,9056,10695
490,Palpa,Bagnaskali  ,4648,4423,16934,7683,9251
491,Palpa,Mathagadhi  ,5840,5553,24024,11222,12802
492,Palpa,Nisdi  ,4075,3772,17629,8137,9492
493,Palpa,Purbakhola  ,4138,3660,16145,7147,8998
494,Palpa,Rainadevi Chhahara  ,6390,6046,23124,10491,12633
495,Palpa,Rambha  ,4696,4339,17077,7565,9512
496,Palpa,Rampur ,10821,9111,39190,17775,21415
497,Palpa,Ribdikot  ,4459,4236,15636,7195,8441
498,Palpa,Tansen ,14865,10919,51470,23927,27543
499,Palpa,Tinau  ,4326,4164,18291,8628,9663
500,Nawalparasi West,Bardaghat ,18240,16430,75017,35180,39837
501,Nawalparasi West,Palhi Nandan  ,7383,6165,40325,20662,19663
502,Nawalparasi West,Pratappur  ,10753,9234,50326,25016,25310
503,Nawalparasi West,Ramgram ,13081,11037,64150,31842,32308
504,Nawalparasi West,Sarawal  ,8840,7576,42217,20691,21526
505,Nawalparasi West,Sunwal ,17689,15871,72621,34316,38305
506,Nawalparasi West,Susta  ,7892,6946,39798,19365,20433
507,Rupandehi,Butwal Sub-Metropolitian City,51099,36989,195054,95705,99349
508,Rupandehi,Devdaha ,17582,15624,71806,33747,38059
509,Rupandehi,Gaidahawa  ,10020,8612,56529,28000,28529
510,Rupandehi,Kanchan  ,10483,9828,42528,19295,23233
511,Rupandehi,Kotahimai  ,7921,5939,46417,23527,22890
512,Rupandehi,Lumbini Sanskritik ,13854,10736,88090,43706,44384
513,Rupandehi,Marchawari  ,6972,5305,41058,20632,20426
514,Rupandehi,Mayadevi  ,10040,8003,57341,28991,28350
515,Rupandehi,Omsatiya  ,8218,6683,41080,20332,20748
516,Rupandehi,Rohini  ,8096,6349,43277,21836,21441
517,Rupandehi,Sainamaina ,19657,17572,78477,36547,41930
518,Rupandehi,Sammarimai  ,7303,5164,43300,21691,21609
519,Rupandehi,Siddharthanagar ,16011,12329,76307,38136,38171
520,Rupandehi,Siyari  ,9060,7883,45274,22100,23174
521,Rupandehi,Sudhdhodhan  ,8717,7619,41472,20352,21120
522,Rupandehi,Tillotama ,36399,30452,149657,71700,77957
523,Kapilbastu,Banganga ,23482,21157,97114,45820,51294
524,Kapilbastu,Bijayanagar  ,7144,6361,43440,21562,21878
525,Kapilbastu,Buddhabhumi ,15581,13717,77281,37580,39701
526,Kapilbastu,Kapilbastu ,15555,12871,89969,44505,45464
527,Kapilbastu,Krishnanagar ,10889,8734,70969,35449,35520
528,Kapilbastu,Maharajgunj ,9945,8084,65668,33257,32411
529,Kapilbastu,Mayadevi  ,8383,6623,57121,28014,29107
530,Kapilbastu,Shivaraj ,16072,13960,84454,41098,43356
531,Kapilbastu,Suddhodhan  ,8593,6770,53417,26258,27159
532,Kapilbastu,Yashodhara  ,7045,5462,45169,22030,23139
533,Arghakhanchi,Bhumekasthan ,7891,7403,28317,12687,15630
534,Arghakhanchi,Chhatradev  ,6263,5930,21691,9676,12015
535,Arghakhanchi,Malarani  ,6842,6501,23780,10747,13033
536,Arghakhanchi,Panini  ,6214,5915,22330,10064,12266
537,Arghakhanchi,Sandhikharka ,12322,10261,42528,19507,23021
538,Arghakhanchi,Sitganga ,9541,9002,37888,17787,20101
539,Pyuthan,Ayirabati  ,5145,4628,20404,9074,11330
540,Pyuthan,Gaumukhi  ,5616,5380,26000,12006,13994
541,Pyuthan,Jhimruk  ,6592,6130,26491,11935,14556
542,Pyuthan,Mallarani  ,4152,3743,15846,6866,8980
543,Pyuthan,Mandavi  ,3904,3469,15778,7005,8773
544,Pyuthan,Naubahini  ,7163,6781,32524,14916,17608
545,Pyuthan,Pyuthan ,11500,10175,42094,18945,23149
546,Pyuthan,Sarumarani  ,4488,4125,19370,8545,10825
547,Pyuthan,Sworgadwary ,8400,7739,32127,14041,18086
548,Rolpa,Pariwartan  ,4765,4567,22001,10252,11749
549,Rolpa,Lungri  ,5668,5486,26539,12348,14191
550,Rolpa,Madi  ,4143,4023,18013,8431,9582
551,Rolpa,Rolpa ,8836,7464,35644,16410,19234
552,Rolpa,Runtigadi  ,6387,6055,29094,13734,15360
553,Rolpa,Sunil Smriti  ,7066,6462,30523,13983,16540
554,Rolpa,Gangadev  ,4474,4423,21738,10278,11460
555,Rolpa,Sunchhahari  ,3607,3505,17281,8298,8983
556,Rolpa,Thawang  ,2575,2345,11008,5159,5849
557,Rolpa,Tribeni  ,5468,5257,23190,10941,12249
558,Rukum East,Bhume  ,4194,3849,19835,9425,10410
559,Rukum East,Putha Uttarganga  ,4573,3925,18954,9473,9481
560,Rukum East,Sisne  ,4396,3833,18751,9122,9629
561,Dang,Babai  ,7538,7171,31317,14527,16790
562,Dang,Banglachuli  ,5173,4951,22877,10276,12601
563,Dang,Dangisharan  ,5897,5579,23672,11436,12236
564,Dang,Gadhawa  ,10084,9448,46275,22650,23625
565,Dang,Ghorahi Sub-Metropolitian City,51619,45240,201079,94384,106695
566,Dang,Lamahi ,13862,12482,58884,28257,30627
567,Dang,Rajpur  ,5896,5634,28410,14171,14239
568,Dang,Rapti  ,11837,10940,52158,24720,27438
569,Dang,Shantinagar  ,7137,6792,27666,12872,14794
570,Dang,Tulsipur Sub-Metropolitian City,46699,41012,180734,85701,95033
571,Banke,Baijanath  ,16765,15439,70315,32739,37576
572,Banke,Duduwa  ,8112,6152,43039,21798,21241
573,Banke,Janki  ,9124,7263,46536,23386,23150
574,Banke,Khajura  ,13885,12213,63749,30284,33465
575,Banke,Kohalpur ,24346,21251,100289,48324,51965
576,Banke,Narainapur  ,8680,6941,43698,21822,21876
577,Banke,Nepalgunj Sub-Metropolitian City,35517,26491,166258,83311,82947
578,Banke,Rapti Sonari  ,15491,14380,67782,32015,35767
579,Bardiya,Badhaiyatal  ,12736,11826,52056,24042,28014
580,Bardiya,Bansagadhi ,15149,13965,63400,29486,33914
581,Bardiya,Barbardiya ,16950,15852,72892,34353,38539
582,Bardiya,Geruwa  ,7788,7613,33742,15525,18217
583,Bardiya,Gulariya ,16141,14177,74868,37086,37782
584,Bardiya,Madhuwan ,12474,11647,51173,23570,27603
585,Bardiya,Rajapur ,13711,13191,61431,29166,32265
586,Bardiya,Thakurbaba ,11480,10646,49360,22853,26507
587,Rukum West,Aathbiskot ,7603,7094,35929,17743,18186
588,Rukum West,Banfikot  ,4827,4398,20940,10085,10855
589,Rukum West,Chaurjahari ,6791,5957,29255,14170,15085
590,Rukum West,Musikot ,8793,7425,33871,16091,17780
591,Rukum West,Sani Bheri  ,5313,4897,24778,12152,12626
592,Rukum West,Tribeni  ,4375,4231,20466,9775,10691
593,Salyan,Bagchaur ,7539,7212,34053,16496,17557
594,Salyan,Bangad Kupinde ,7893,7423,33758,16237,17521
595,Salyan,Chhatreshwori  ,5135,4847,21368,10115,11253
596,Salyan,Darma  ,4270,4006,19998,9699,10299
597,Salyan,Siddha Kumakh  ,2892,2786,13135,6274,6861
598,Salyan,Kalimati  ,4994,4734,22498,11126,11372
599,Salyan,Kapurkot  ,3978,3864,17548,8410,9138
600,Salyan,Kumakh  ,5582,5149,24858,12088,12770
601,Salyan,Sharada ,8992,8122,34684,16516,18168
602,Salyan,Tribeni  ,4125,3841,16768,7992,8776
603,Surkhet,Barahtal  ,6240,6059,25562,12248,13314
604,Surkhet,Bheriganga ,11599,10524,48581,22833,25748
605,Surkhet,Birendranagar ,39391,31847,154886,75921,78965
606,Surkhet,Chaukune  ,5358,4897,27006,13289,13717
607,Surkhet,Chingad  ,3240,3066,15752,7405,8347
608,Surkhet,Gurbhakot ,11923,10960,49394,23162,26232
609,Surkhet,Lekbeshi ,7475,7134,31791,14978,16813
610,Surkhet,Panchpuri ,7979,7326,36062,17530,18532
611,Surkhet,Simta  ,6121,5475,24298,10740,13558
612,Dailekh,Aathabis ,6246,4951,31839,15565,16274
613,Dailekh,Bhagawatimai  ,3627,3344,18366,9083,9283
614,Dailekh,Bhairabi  ,4198,3755,17981,8377,9604
615,Dailekh,Chamunda Bindrasaini ,5192,4475,26575,13044,13531
616,Dailekh,Dullu ,9208,8353,39582,18506,21076
617,Dailekh,Dungeshwor  ,3436,3163,14597,6940,7657
618,Dailekh,Gurans  ,4562,4358,21284,10483,10801
619,Dailekh,Mahabu  ,4021,3652,18037,8316,9721
620,Dailekh,Narayan ,6668,5421,25803,12222,13581
621,Dailekh,Naumule  ,4517,4162,20589,10032,10557
622,Dailekh,Thantikandh  ,4033,3142,18666,9107,9559
623,Jajarkot,Barekot  ,3901,3485,22038,11010,11028
624,Jajarkot,Bheri ,8962,7745,38370,18636,19734
625,Jajarkot,Chhedagad ,7431,6888,38027,18852,19175
626,Jajarkot,Junichande  ,4356,3967,23823,11979,11844
627,Jajarkot,Kuse  ,4520,4199,23529,11636,11893
628,Jajarkot,Shiwalaya  ,2820,2598,14720,7270,7450
629,Jajarkot,Nalagad ,6064,5427,28858,14412,14446
630,Dolpa,Chharka Tangsong  ,320,306,1713,839,874
631,Dolpa,Dolpo Buddha  ,543,542,2462,1206,1256
632,Dolpa,Jagadulla  ,600,511,2581,1289,1292
633,Dolpa,Kaike  ,926,715,4124,1931,2193
634,Dolpa,Mudkechula  ,1206,1078,5875,2975,2900
635,Dolpa,Shey Phoksundo  ,818,805,3717,1775,1942
636,Dolpa,Thuli Bheri ,2380,1770,10187,5113,5074
637,Dolpa,Tripurasundari ,2636,2268,12300,6148,6152
638,Jumla,Chandannath ,5367,4166,20973,10475,10498
639,Jumla,Guthichaur  ,2451,2205,10891,5344,5547
640,Jumla,Hima  ,2104,2062,12804,6388,6416
641,Jumla,Kanakasundari  ,2786,2733,13687,6807,6880
642,Jumla,Patrasi  ,3374,3191,16881,8349,8532
643,Jumla,Sinja  ,2427,2271,12744,6561,6183
644,Jumla,Tatopani  ,3321,3190,15721,7728,7993
645,Jumla,Tila  ,2666,2582,14692,7261,7431
646,Kalikot,Subha Kalika  ,2769,2311,13900,6784,7116
647,Kalikot,Khandachakra ,4132,3266,23336,11948,11388
648,Kalikot,Mahawai  ,1666,1364,8334,4072,4262
649,Kalikot,Naraharinath  ,4422,3668,22414,11109,11305
650,Kalikot,Pachaljharana  ,2509,2196,13683,6837,6846
651,Kalikot,Palata  ,2895,2683,17658,9018,8640
652,Kalikot,Raskot ,3076,2836,16469,8059,8410
653,Kalikot,Sanni Tribeni  ,2352,2088,12864,6363,6501
654,Kalikot,Tilagufa ,3135,2517,16259,8053,8206
655,Mugu,Chhayanath Rara ,4917,4529,25692,13022,12670
656,Mugu,Khatyad  ,3567,3429,19301,9840,9461
657,Mugu,Mugum Karmarong  ,1399,1364,7301,3506,3795
658,Mugu,Soru  ,2652,2469,14364,7080,7284
659,Humla,Adanchuli  ,1481,1344,8110,4012,4098
660,Humla,Chankheli  ,1196,1175,6625,3367,3258
661,Humla,Kharpunath  ,1545,1330,6975,3465,3510
662,Humla,Namkha  ,868,850,4506,2304,2202
663,Humla,Sarkegad  ,2211,2016,11040,5669,5371
664,Humla,Simkot  ,3007,2512,12130,6101,6029
665,Humla,Tanjakot  ,1176,1086,6110,3064,3046
666,Bajura,Badimalika ,4082,3143,18432,9253,9179
667,Bajura,Budhiganga ,4680,3875,20072,9259,10813
668,Bajura,Budhinanda ,4317,3195,20745,10214,10531
669,Bajura,Khaptad Chhededaha  ,3627,2878,19274,9326,9948
670,Bajura,Gaumul  ,1731,1588,8765,4373,4392
671,Bajura,Himali  ,2092,1716,10503,5284,5219
672,Bajura,Jagannath  ,1965,1687,10205,4938,5267
673,Bajura,Swami Kartik Khaapar  ,2392,2242,13013,6593,6420
674,Bajura,Tribeni ,4036,3567,17989,8368,9621
675,Bajhang,Bithadchir  ,3273,2728,16854,8301,8553
676,Bajhang,Bungal ,6242,5357,33487,15885,17602
677,Bajhang,Chabispathivera  ,3125,2792,14515,6770,7745
678,Bajhang,Durgathali  ,2606,2282,11414,5149,6265
679,Bajhang,JayaPrithivi ,5034,4088,21973,10560,11413
680,Bajhang,SaiPaal  ,456,454,2681,1330,1351
681,Bajhang,Kedarseu  ,4389,3768,21697,10000,11697
682,Bajhang,Khaptadchhanna  ,3100,2453,13751,6238,7513
683,Bajhang,Masta  ,2608,2519,13584,6518,7066
684,Bajhang,Surma  ,1835,1593,11248,5609,5639
685,Bajhang,Talkot  ,2238,2063,11858,5454,6404
686,Bajhang,Thalara  ,3462,2819,15961,7104,8857
687,Achham,Bannigadhi Jayagadh  ,3144,2309,13639,5887,7752
688,Achham,Chaurpati  ,4822,3960,22407,9985,12422
689,Achham,Dhakari  ,4373,3501,22553,10813,11740
690,Achham,Kamalbazar ,4590,3730,20947,9480,11467
691,Achham,Mangalsen ,6231,4587,26843,12101,14742
692,Achham,Mellekh  ,4752,3628,23096,10670,12426
693,Achham,Panchadewal Binayak ,5432,4466,26316,12062,14254
694,Achham,Ramaroshan  ,4959,3876,22676,10759,11917
695,Achham,Sanphebagar ,6382,4883,25990,11965,14025
696,Achham,Turmakhad  ,5277,4428,24440,11668,12772
697,Doti,Adharsha  ,5449,4204,24911,11141,13770
698,Doti,Badikedar  ,2984,2762,15078,7555,7523
699,Doti,Bogtan Foodsil  ,3198,2774,15912,7488,8424
700,Doti,Dipayal Silgadi ,8601,6111,36906,17884,19022
701,Doti,Jorayal  ,4432,4092,20364,10251,10113
702,Doti,K I Singh  ,4731,3975,20830,9130,11700
703,Doti,Purbichauki  ,5305,4095,21263,9089,12174
704,Doti,Sayal  ,4311,3139,20125,9221,10904
705,Doti,Shikhar ,7089,5654,30294,13307,16987
706,Kailali,Bardagoriya  ,8639,8162,37714,17882,19832
707,Kailali,Bhajani ,11143,10701,53795,25802,27993
708,Kailali,Chure  ,4272,4015,21437,10809,10628
709,Kailali,Dhangadhi Sub-Metropolitian City,46670,39249,204788,102334,102454
710,Kailali,Gauriganga ,13693,12984,64327,29730,34597
711,Kailali,Ghodaghodi ,18636,17796,85982,40223,45759
712,Kailali,Godawari ,21508,19356,99973,47873,52100
713,Kailali,Janaki  ,11180,10657,49835,23202,26633
714,Kailali,Joshipur  ,7775,7630,37167,17788,19379
715,Kailali,Kailari  ,10793,10458,50457,24485,25972
716,Kailali,Lamkichuha ,20801,19367,90941,42795,48146
717,Kailali,Mohanyal  ,4450,4226,21285,10375,10910
718,Kailali,Tikapur ,20953,19091,90115,43354,46761
719,Kanchanpur,Bedkot ,12780,11904,58250,27055,31195
720,Kanchanpur,Beldandi  ,4727,4471,22041,9939,12102
721,Kanchanpur,Belauri ,11154,10296,53918,25526,28392
722,Kanchanpur,Bhimdatta ,27691,24715,123316,59400,63916
723,Kanchanpur,Krishnapur ,15272,14217,72501,34347,38154
724,Kanchanpur,Laljhadi  ,4822,4666,25271,12282,12989
725,Kanchanpur,Dodhara Chandani ,9657,8891,43486,19254,24232
726,Kanchanpur,Punarbas ,13676,12895,61628,28286,33342
727,Kanchanpur,Shuklaphanta ,12120,11316,54379,24948,29431
728,Dadeldhura,Alital  ,3743,3421,18125,8773,9352
729,Dadeldhura,Ajaymeru  ,3479,2987,15243,7167,8076
730,Dadeldhura,Amargadhi ,6385,4752,24792,12515,12277
731,Dadeldhura,Bhageshwar  ,2812,2362,13112,6290,6822
732,Dadeldhura,Ganayapdhura  ,3360,2788,13655,6158,7497
733,Dadeldhura,Nawadurga  ,4335,3634,18745,8194,10551
734,Dadeldhura,Parashuram ,7494,6559,35748,16833,18915
735,Baitadi,Dasharathchanda ,7339,6095,31786,15053,16733
736,Baitadi,Dilasaini  ,4925,3930,23233,11347,11886
737,Baitadi,Dogadakedar  ,4774,3998,23619,10854,12765
738,Baitadi,Melauli ,4626,3890,21000,9735,11265
739,Baitadi,Pancheshwar  ,3617,2986,17780,8130,9650
740,Baitadi,Patan ,6276,5195,28360,13415,14945
741,Baitadi,Purchaudi ,7236,6417,38666,18701,19965
742,Baitadi,Shivanath  ,3435,2919,18247,8489,9758
743,Baitadi,Sigas  ,4367,3652,23479,11153,12326
744,Baitadi,Surnaya  ,3877,3206,18230,8549,9681
745,Darchula,Apihimal  ,1363,1256,7023,3438,3585
746,Darchula,Byas  ,2361,2168,10205,4884,5321
747,Darchula,Dunhu  ,2293,1906,9912,4580,5332
748,Darchula,Lekam  ,3045,2645,13638,6520,7118
749,Darchula,Mahakali ,6080,4596,24572,12072,12500
750,Darchula,Malikaarjun  ,3241,2993,15754,7631,8123
751,Darchula,Marma  ,3086,2704,15586,7551,8035
752,Darchula,Naugad  ,3156,2920,16434,7988,8446
753,Darchula,Shailyashikhar ,4561,4012,21932,10685,11247
