id,district,locality,families,households,population,male,female
101,Bhojpur,Salpasilichho  ,3019,2972,12229,6008,6221
102,Bhojpur,Shadananda ,7450,7139,29777,14681,15096
103,Bhojpur,Temkemaiyung  ,3855,3773,15491,7611,7880
104,Solukhumbu,Thulung Dudhkoshi  ,4672,4568,18459,9225,9234
105,Solukhumbu,Maapya Dudhkoshi  ,3142,3102,12746,6422,6324
106,Solukhumbu,Khumbupasanglahmu  ,2611,2341,9226,4737,4489
107,Solukhumbu,Likhupike  ,1255,1255,5264,2588,2676
108,Solukhumbu,Mahakulung  ,2909,2885,11971,5921,6050
109,Solukhumbu,Nechasalyan  ,2662,2631,10828,5325,5503
110,Solukhumbu,Solududhakunda ,6830,6335,27013,13700,13313
111,Solukhumbu,Sotang  ,2321,2271,9261,4711,4550
112,Okhaldhunga,Champadevi  ,4040,3977,16528,8146,8382
113,Okhaldhunga,Chisankhugadhi  ,3346,3321,13761,6711,7050
114,Okhaldhunga,Khijidemba  ,3496,3461,15867,7926,7941
115,Okhaldhunga,Likhu  ,3189,3125,11930,5912,6018
116,Okhaldhunga,Manebhanjyang  ,4855,4795,19883,9626,10257
117,Okhaldhunga,Molung  ,4173,4116,16944,8464,8480
118,Okhaldhunga,Siddhicharan ,7173,6957,27977,13554,14423
119,Okhaldhunga,Sunkoshi  ,4417,4359,18024,8983,9041
120,Khotang,Ainselukhark  ,3506,3421,13581,6713,6868
121,Khotang,Barahapokhari  ,2591,2540,11461,5713,5748
122,Khotang,Diprung Chuichumma  ,3848,3780,16549,8139,8410
123,Khotang,Halesi Tuwachung ,6149,5948,27274,13434,13840
124,Khotang,Jantedhunga  ,2765,2713,12066,5934,6132
125,Khotang,Kepilasagadhi  ,3346,3237,13339,6583,6756
126,Khotang,Khotehang  ,4149,4056,16952,8417,8535
127,Khotang,Rawa Besi  ,2724,2646,11218,5424,5794
128,Khotang,Diktel Rupakot Majhuwagadhi ,10719,9775,43295,21345,21950
129,Khotang,Sakela  ,2307,2276,9605,4819,4786
130,Udayapur,Belaka ,12170,11633,51458,24631,26827
131,Udayapur,Chaudandigadhi ,12857,12162,53537,25389,28148
132,Udayapur,Katari ,14296,12843,60168,29250,30918
133,Udayapur,Rautamai  ,4586,4434,20418,10017,10401
134,Udayapur,Limchungbung  ,2257,2229,9789,4837,4952
135,Udayapur,Tapli  ,2884,2843,13377,6648,6729
136,Udayapur,Triyuga ,25928,23138,104375,49514,54861
137,Udayapur,Udayapurgadhi  ,6810,6650,28929,14093,14836
138,Saptari,Agnisair Krishna Savaran  ,6726,6092,32047,15735,16312
139,Saptari,Balan Bihul  ,5004,3770,24059,12169,11890
140,Saptari,Rajgadh  ,6942,5687,32975,16564,16411
141,Saptari,Bishnupur  ,5780,5007,28072,14230,13842
142,Saptari,Bode Barsain ,9854,7988,46343,23092,23251
143,Saptari,Chhinnamasta  ,6373,4747,30664,15416,15248
144,Saptari,Dakneshwori ,10094,7954,48314,24055,24259
145,Saptari,Hanumannagar Kankalini ,11130,8680,51926,26330,25596
146,Saptari,Kanchanrup ,12662,10277,58882,28949,29933
147,Saptari,Khadak ,11355,9432,54193,26139,28054
148,Saptari,Mahadeva  ,6522,5322,31048,15737,15311
149,Saptari,Rajbiraj ,15121,13062,71946,36942,35004
150,Saptari,Rupani  ,6963,5801,30064,14806,15258
151,Saptari,Saptakoshi  ,5305,4624,23891,11632,12259
152,Saptari,Shambhunath ,8824,7388,39423,18943,20480
153,Saptari,Surunga ,10611,8979,49668,23899,25769
154,Saptari,Tilathi Koiladi  ,6874,5366,34257,17459,16798
155,Saptari,Tirahut  ,5151,4148,23987,12086,11901
156,Siraha,Arnama  ,5208,4231,28137,13741,14396
157,Siraha,Aurahi  ,5891,4092,27194,13669,13525
158,Siraha,Bariyarpatti  ,5965,4475,29859,14876,14983
159,Siraha,Bhagawanpur  ,4650,3553,23324,11544,11780
160,Siraha,Bishnupur  ,4870,3821,22796,11303,11493
161,Siraha,Dhangadhimai ,11133,9657,54244,26617,27627
